codLib;MarcLib;tipLib;descLib;valLib
1018447;Torre;Cuaderno;Clásico mujer (surtido);1890
1832417;Caligrafix;Cuaderno;Interactivo matemáticas lógica y números +4 años;6990
915485;Colon;Cuaderno;Universitario matemáticas 7 mm 100 hojas;1590
914911;Proarte;Cuaderno;Universitario Animales 100 hojas 7 mm (surtido);1490
976566;Torre;Cuaderno;Universitario clásico Fauna 100 hojas (surtido);1890
1583263;Rhein;Cuaderno;Universitario Minnie 100 hojas (surtido);1890
1900195;Artel;Cuaderno;Super Mario Book 120 hojas (surtido);3290
